U LO, U HI, Success rate, Failed B,Rate,Rate B
4,4,100,99.5
4,4.5,100,100
4,5,100,99
4,5.5,100,100
4,6,100,99
4,6.5,100,99
4,7,100,98.5
4,7.5,100,98.5
4,8,100,97.5
7,4,100,37.5
7,4.5,99,37.5
7,5,100,36
7,5.5,98.5,29
7,6,99,22
7,6.5,96,17
7,7,98.5,14.5
7,7.5,98,15
7,8,99.5,14.5
7.5,4,91.5,19
7.5,4.5,90.5,21
7.5,5,92,17
7.5,5.5,91,13.5
7.5,6,85.5,9.5
7.5,6.5,88,9.5
7.5,7,87.5,9.5
7.5,7.5,84.5,9
7.5,8,87.5,5
8,4,64.5,14
8,4.5,57.5,16
8,5,55.5,7.5
8,5.5,55.5,9
8,6,51.5,6.5
8,6.5,43.5,2
8,7,42,0.5
8,7.5,37.5,0
8,8,36.5,0
