Cores, U LO, U HI, Success rate, Failed B,Rate,Rate B
8,4,4,200,1,100,99.5
8,4,4.5,200,1,100,99.5
8,4,5,200,0,100,100
8,4,5.5,200,3,100,98.5
8,4,6,200,2,100,99
8,4,6.5,200,3,100,98.5
8,4,7,200,3,100,98.5
8,4,7.5,200,5,100,97.5
8,4,8,200,5,100,97.5
8,7,4,196,120,98,38
8,7,4.5,196,127,98,34.5
8,7,5,190,127,95,31.5
8,7,5.5,192,139,96,26.5
8,7,6,188,134,94,27
8,7,6.5,192,152,96,20
8,7,7,185,165,92.5,10
8,7,7.5,179,163,89.5,8
8,7,8,180,166,90,7
8,7.5,4,178,139,89,19.5
8,7.5,4.5,168,135,84,16.5
8,7.5,5,172,140,86,16
8,7.5,5.5,163,141,81.5,11
8,7.5,6,169,148,84.5,10.5
8,7.5,6.5,163,149,81.5,7
8,7.5,7,149,144,74.5,2.5
8,7.5,7.5,143,137,71.5,3
8,7.5,8,144,140,72,2
8,8,4,110,93,55,8.5
8,8,4.5,109,93,54.5,8
8,8,5,105,90,52.5,7.5
8,8,5.5,93,84,46.5,4.5
8,8,6,89,79,44.5,5
8,8,6.5,82,80,41,1
8,8,7,70,70,35,0
8,8,7.5,63,63,31.5,0
8,8,8,64,62,32,1
